pair,ttime,cp,upprob,pipgain
aud_usd,2011-02-16 10:00:00,1.0002,0.4898,-5.9988
aud_usd,2011-02-16 11:00:00,0.9996,0.5042,-3.0012
aud_usd,2011-02-16 12:00:00,0.9993,0.5016,0.0000
aud_usd,2011-02-16 13:00:00,0.9993,0.4958,-17.0119
aud_usd,2011-02-16 14:00:00,0.9976,0.5028,4.0096
aud_usd,2011-02-16 15:00:00,0.9980,0.5001,9.0180
aud_usd,2011-02-16 16:00:00,0.9989,0.4917,-6.0066
aud_usd,2011-02-16 17:00:00,0.9983,0.4958,6.0102
aud_usd,2011-02-16 18:00:00,0.9989,0.4970,18.0198
aud_usd,2011-02-16 19:00:00,1.0007,0.4873,34.9755
aud_usd,2011-02-16 20:00:00,1.0042,0.4717,-3.9833
aud_usd,2011-02-16 21:00:00,1.0038,0.4820,-14.9432
aud_usd,2011-02-16 23:00:00,1.0023,0.5028,7.9816
aud_usd,2011-02-17 00:00:00,1.0031,0.5019,5.9815
aud_usd,2011-02-17 01:00:00,1.0037,0.4898,5.9779
aud_usd,2011-02-17 02:00:00,1.0043,0.4936,-8.9615
aud_usd,2011-02-17 03:00:00,1.0034,0.4992,0.9966
aud_usd,2011-02-17 04:00:00,1.0035,0.4988,-0.9965
aud_usd,2011-02-17 05:00:00,1.0034,0.4927,-4.9831
aud_usd,2011-02-17 06:00:00,1.0029,0.4964,1.9942
aud_usd,2011-02-17 07:00:00,1.0031,0.4929,11.9629
aud_usd,2011-02-17 08:00:00,1.0043,0.4846,0.0000
aud_usd,2011-02-17 09:00:00,1.0043,0.4863,-6.9700
aud_usd,2011-02-17 10:00:00,1.0036,0.4930,-6.9749
aud_usd,2011-02-17 11:00:00,1.0029,0.4985,0.0000
aud_usd,2011-02-17 12:00:00,1.0029,0.4992,21.9364
aud_usd,2011-02-17 13:00:00,1.0051,0.4903,-1.9899
aud_usd,2011-02-17 14:00:00,1.0049,0.4908,7.9610
aud_usd,2011-02-17 15:00:00,1.0057,0.4920,24.8583
aud_usd,2011-02-17 16:00:00,1.0082,0.4780,32.7316
aud_usd,2011-02-17 17:00:00,1.0115,0.4665,7.9090
aud_usd,2011-02-17 18:00:00,1.0123,0.4739,-11.8542
aud_usd,2011-02-17 19:00:00,1.0111,0.4925,12.8573
aud_usd,2011-02-17 20:00:00,1.0124,0.4902,-8.8898
aud_usd,2011-02-17 21:00:00,1.0115,0.4907,-5.9318
aud_usd,2011-02-17 23:00:00,1.0109,0.4986,8.9030
aud_usd,2011-02-18 00:00:00,1.0118,0.4890,-1.9767
aud_usd,2011-02-18 01:00:00,1.0116,0.4886,-5.9312
aud_usd,2011-02-18 02:00:00,1.0110,0.4917,1.9782
aud_usd,2011-02-18 03:00:00,1.0112,0.4877,10.8782
aud_usd,2011-02-18 04:00:00,1.0123,0.4802,2.9635
aud_usd,2011-02-18 05:00:00,1.0126,0.4783,0.0000
aud_usd,2011-02-18 06:00:00,1.0126,0.4866,-4.9378
aud_usd,2011-02-18 07:00:00,1.0121,0.4908,3.9522
aud_usd,2011-02-18 08:00:00,1.0125,0.4897,-8.8889
