pair,ttime,cp,upprob,pipgain
eur_gbp,2011-05-25 03:00:00,0.8691,0.4685,0.0000
eur_gbp,2011-05-25 04:00:00,0.8691,0.4679,-6.9037
eur_gbp,2011-05-25 05:00:00,0.8685,0.4739,-4.6056
eur_gbp,2011-05-25 06:00:00,0.8681,0.4781,3.4558
eur_gbp,2011-05-25 07:00:00,0.8684,0.4694,0.0000
eur_gbp,2011-05-25 08:00:00,0.8684,0.4740,19.5762
eur_gbp,2011-05-25 09:00:00,0.8701,0.4547,-17.2394
eur_gbp,2011-05-25 10:00:00,0.8686,0.4967,-23.0256
eur_gbp,2011-05-25 11:00:00,0.8666,0.4901,10.3854
eur_gbp,2011-05-25 12:00:00,0.8675,0.4492,-9.2219
eur_gbp,2011-05-25 13:00:00,0.8667,0.4632,-21.9222
eur_gbp,2011-05-25 14:00:00,0.8648,0.4808,0.0000
eur_gbp,2011-05-25 15:00:00,0.8648,0.4668,17.3451
eur_gbp,2011-05-25 16:00:00,0.8663,0.4448,3.4630
eur_gbp,2011-05-25 17:00:00,0.8666,0.4808,-17.3090
eur_gbp,2011-05-25 18:00:00,0.8651,0.5074,-3.4678
eur_gbp,2011-05-25 19:00:00,0.8648,0.4748,3.4690
eur_gbp,2011-05-25 20:00:00,0.8651,0.4642,1.1559
eur_gbp,2011-05-25 22:00:00,0.8652,0.4617,-2.3116
eur_gbp,2011-05-25 23:00:00,0.8650,0.4639,-10.4046
eur_gbp,2011-05-26 00:00:00,0.8641,0.4739,32.4037
eur_gbp,2011-05-26 01:00:00,0.8669,0.4320,3.4606
eur_gbp,2011-05-26 02:00:00,0.8672,0.4719,6.9188
eur_gbp,2011-05-26 03:00:00,0.8678,0.4589,-9.2187
eur_gbp,2011-05-26 04:00:00,0.8670,0.4840,14.9942
eur_gbp,2011-05-26 05:00:00,0.8683,0.4373,10.3651
eur_gbp,2011-05-26 06:00:00,0.8692,0.4462,0.0000
eur_gbp,2011-05-26 07:00:00,0.8692,0.4548,13.8058
eur_gbp,2011-05-26 08:00:00,0.8704,0.4386,-13.7868
eur_gbp,2011-05-26 09:00:00,0.8692,0.4787,9.2039
eur_gbp,2011-05-26 10:00:00,0.8700,0.4450,-13.7931
eur_gbp,2011-05-26 11:00:00,0.8688,0.4786,3.4530
eur_gbp,2011-05-26 12:00:00,0.8691,0.4432,-13.8074
eur_gbp,2011-05-26 13:00:00,0.8679,0.4799,-20.7397
eur_gbp,2011-05-26 14:00:00,0.8661,0.4843,-41.5656
eur_gbp,2011-05-26 15:00:00,0.8625,0.5117,-8.1159
eur_gbp,2011-05-26 16:00:00,0.8618,0.4742,10.4433
eur_gbp,2011-05-26 17:00:00,0.8627,0.4549,-10.4324
eur_gbp,2011-05-26 18:00:00,0.8618,0.4971,10.4433
eur_gbp,2011-05-26 19:00:00,0.8627,0.4875,-3.4775
eur_gbp,2011-05-26 20:00:00,0.8624,0.5131,1.1596
eur_gbp,2011-05-26 22:00:00,0.8625,0.4918,1.1594
eur_gbp,2011-05-26 23:00:00,0.8626,0.4862,2.3186
eur_gbp,2011-05-27 00:00:00,0.8628,0.4564,4.6361
eur_gbp,2011-05-27 01:00:00,0.8632,0.4506,5.7924
eur_gbp,2011-05-27 02:00:00,0.8637,0.4564,2.3156
eur_gbp,2011-05-27 03:00:00,0.8639,0.4543,40.5139
eur_gbp,2011-05-27 04:00:00,0.8674,0.4194,-10.3758
eur_gbp,2011-05-27 05:00:00,0.8665,0.4787,3.4622
eur_gbp,2011-05-27 06:00:00,0.8668,0.4550,-5.7683
eur_gbp,2011-05-27 07:00:00,0.8663,0.4675,4.6173
eur_gbp,2011-05-27 08:00:00,0.8667,0.4346,-9.2304
eur_gbp,2011-05-27 09:00:00,0.8659,0.4606,-8.0841
eur_gbp,2011-05-27 10:00:00,0.8652,0.4568,15.0254
eur_gbp,2011-05-27 11:00:00,0.8665,0.4361,-1.1541
eur_gbp,2011-05-27 12:00:00,0.8664,0.4772,25.3924
eur_gbp,2011-05-27 13:00:00,0.8686,0.4461,-19.5717
eur_gbp,2011-05-27 14:00:00,0.8669,0.5089,-10.3818
eur_gbp,2011-05-27 15:00:00,0.8660,0.4777,2.3095
eur_gbp,2011-05-27 16:00:00,0.8662,0.4668,-6.9268
eur_gbp,2011-05-27 17:00:00,0.8656,0.4583,12.7079
eur_gbp,2011-05-27 18:00:00,0.8667,0.4420,4.6152
eur_gbp,2011-05-27 19:00:00,0.8671,0.4689,-4.6131
eur_gbp,2011-05-27 20:00:00,0.8667,0.4741,14.9994
eur_gbp,2011-05-29 22:00:00,0.8680,0.4693,-24.1935
eur_gbp,2011-05-29 23:00:00,0.8659,0.4984,10.3938
eur_gbp,2011-05-30 00:00:00,0.8668,0.4443,1.1537
eur_gbp,2011-05-30 01:00:00,0.8669,0.4642,1.1535
eur_gbp,2011-05-30 02:00:00,0.8670,0.4510,-1.1534
eur_gbp,2011-05-30 03:00:00,0.8669,0.4753,-10.3818
eur_gbp,2011-05-30 05:00:00,0.8660,0.4804,-1.1547
eur_gbp,2011-05-30 06:00:00,0.8659,0.4646,8.0841
eur_gbp,2011-05-30 07:00:00,0.8666,0.4612,4.6157
eur_gbp,2011-05-30 08:00:00,0.8670,0.4564,-2.3068
eur_gbp,2011-05-30 09:00:00,0.8668,0.4762,6.9220
eur_gbp,2011-05-30 10:00:00,0.8674,0.4662,-3.4586
eur_gbp,2011-05-30 11:00:00,0.8671,0.4757,-1.1533
eur_gbp,2011-05-30 13:00:00,0.8670,0.4673,2.3068
eur_gbp,2011-05-30 14:00:00,0.8672,0.4592,-1.1531
eur_gbp,2011-05-30 15:00:00,0.8671,0.4591,1.1533
eur_gbp,2011-05-30 16:00:00,0.8672,0.4615,-2.3063
eur_gbp,2011-05-30 17:00:00,0.8670,0.4704,0.0000
eur_gbp,2011-05-30 18:00:00,0.8670,0.4639,-1.1534
eur_gbp,2011-05-30 19:00:00,0.8669,0.4697,0.0000
eur_gbp,2011-05-30 20:00:00,0.8669,0.4654,1.1535
eur_gbp,2011-05-30 22:00:00,0.8670,0.4652,14.9942
eur_gbp,2011-05-30 23:00:00,0.8683,0.4523,4.6067
eur_gbp,2011-05-31 00:00:00,0.8687,0.4673,10.3603
eur_gbp,2011-05-31 01:00:00,0.8696,0.4603,17.2493
eur_gbp,2011-05-31 02:00:00,0.8711,0.4528,-19.5156
eur_gbp,2011-05-31 03:00:00,0.8694,0.4864,-4.6009
eur_gbp,2011-05-31 04:00:00,0.8690,0.4595,4.6030
eur_gbp,2011-05-31 05:00:00,0.8694,0.4456,5.7511
eur_gbp,2011-05-31 06:00:00,0.8699,0.4368,-10.3460
eur_gbp,2011-05-31 07:00:00,0.8690,0.4738,42.5777
eur_gbp,2011-05-31 08:00:00,0.8727,0.4203,2.2917
eur_gbp,2011-05-31 09:00:00,0.8729,0.4766,8.0192
eur_gbp,2011-05-31 10:00:00,0.8736,0.4717,-8.0128
eur_gbp,2011-05-31 11:00:00,0.8729,0.4861,-16.0385
eur_gbp,2011-05-31 12:00:00,0.8715,0.4640,24.0964
eur_gbp,2011-05-31 13:00:00,0.8736,0.4207,8.0128
eur_gbp,2011-05-31 14:00:00,0.8743,0.4447,-10.2939
eur_gbp,2011-05-31 15:00:00,0.8734,0.4599,12.5945
eur_gbp,2011-05-31 16:00:00,0.8745,0.4633,-1.1435
eur_gbp,2011-05-31 17:00:00,0.8744,0.4692,2.2873
eur_gbp,2011-05-31 18:00:00,0.8746,0.4623,-4.5735
