pair,ttime,cp,upprob,pipgain
eur_usd,2011-05-31 02:00:00,1.4402,0.4252,-11.8039
eur_usd,2011-05-31 03:00:00,1.4385,0.4727,-6.9517
eur_usd,2011-05-31 04:00:00,1.4375,0.4922,6.2609
eur_usd,2011-05-31 05:00:00,1.4384,0.4927,-1.3904
eur_usd,2011-05-31 06:00:00,1.4382,0.5017,-3.4766
eur_usd,2011-05-31 07:00:00,1.4377,0.4971,23.6489
eur_usd,2011-05-31 08:00:00,1.4411,0.4572,-4.8574
eur_usd,2011-05-31 09:00:00,1.4404,0.4677,4.1655
eur_usd,2011-05-31 10:00:00,1.4410,0.4680,-4.1638
eur_usd,2011-05-31 11:00:00,1.4404,0.4734,-13.8850
eur_usd,2011-05-31 12:00:00,1.4384,0.5065,2.0857
eur_usd,2011-05-31 13:00:00,1.4387,0.4926,13.2064
eur_usd,2011-05-31 14:00:00,1.4406,0.4726,-20.8247
eur_usd,2011-05-31 15:00:00,1.4376,0.5089,-0.6956
eur_usd,2011-05-31 16:00:00,1.4375,0.4975,-4.1739
eur_usd,2011-05-31 17:00:00,1.4369,0.5003,9.7432
eur_usd,2011-05-31 18:00:00,1.4383,0.4948,-0.6953
eur_usd,2011-05-31 19:00:00,1.4382,0.4846,5.5625
eur_usd,2011-05-31 20:00:00,1.4390,0.4825,2.7797
eur_usd,2011-05-31 22:00:00,1.4394,0.4788,22.9262
eur_usd,2011-05-31 23:00:00,1.4427,0.4541,-2.0794
eur_usd,2011-06-01 00:00:00,1.4424,0.4694,-13.1725
eur_usd,2011-06-01 01:00:00,1.4405,0.5045,6.9420
eur_usd,2011-06-01 02:00:00,1.4415,0.4912,2.0812
eur_usd,2011-06-01 03:00:00,1.4418,0.4959,2.0807
eur_usd,2011-06-01 04:00:00,1.4421,0.4955,9.0146
eur_usd,2011-06-01 05:00:00,1.4434,0.4744,3.4640
eur_usd,2011-06-01 06:00:00,1.4439,0.4775,-7.6183
eur_usd,2011-06-01 07:00:00,1.4428,0.4920,-6.2379
eur_usd,2011-06-01 08:00:00,1.4419,0.4976,-9.7094
eur_usd,2011-06-01 09:00:00,1.4405,0.5125,6.9420
eur_usd,2011-06-01 10:00:00,1.4415,0.4968,-14.5682
eur_usd,2011-06-01 11:00:00,1.4394,0.5106,13.8947
eur_usd,2011-06-01 12:00:00,1.4414,0.4869,-0.6938
eur_usd,2011-06-01 13:00:00,1.4413,0.4788,-0.6938
eur_usd,2011-06-01 14:00:00,1.4412,0.4899,9.7141
eur_usd,2011-06-01 15:00:00,1.4426,0.4736,2.7728
eur_usd,2011-06-01 16:00:00,1.4430,0.4814,-24.2550
eur_usd,2011-06-01 17:00:00,1.4395,0.5189,2.0841
eur_usd,2011-06-01 18:00:00,1.4398,0.5088,-18.0581
eur_usd,2011-06-01 19:00:00,1.4372,0.5306,-22.9613
eur_usd,2011-06-01 20:00:00,1.4339,0.5557,-6.9740
eur_usd,2011-06-01 22:00:00,1.4329,0.5365,10.4683
eur_usd,2011-06-01 23:00:00,1.4344,0.5103,0.6972
eur_usd,2011-06-02 00:00:00,1.4345,0.4962,6.9711
eur_usd,2011-06-02 01:00:00,1.4355,0.4780,2.0899
eur_usd,2011-06-02 02:00:00,1.4358,0.4777,-0.6965
eur_usd,2011-06-02 03:00:00,1.4357,0.4894,-0.6965
eur_usd,2011-06-02 04:00:00,1.4356,0.4928,6.9657
eur_usd,2011-06-02 05:00:00,1.4366,0.4934,-1.3922
eur_usd,2011-06-02 06:00:00,1.4364,0.4999,7.6580
eur_usd,2011-06-02 07:00:00,1.4375,0.4899,11.8261
eur_usd,2011-06-02 08:00:00,1.4392,0.4770,11.1173
eur_usd,2011-06-02 09:00:00,1.4408,0.4728,32.6208
eur_usd,2011-06-02 10:00:00,1.4455,0.4331,11.7606
eur_usd,2011-06-02 11:00:00,1.4472,0.4389,-9.6739
eur_usd,2011-06-02 12:00:00,1.4458,0.4754,-4.8416
eur_usd,2011-06-02 13:00:00,1.4451,0.4849,-1.3840
eur_usd,2011-06-02 14:00:00,1.4449,0.4974,-6.9209
eur_usd,2011-06-02 15:00:00,1.4439,0.5103,-9.6960
eur_usd,2011-06-02 16:00:00,1.4425,0.5123,30.5026
eur_usd,2011-06-02 17:00:00,1.4469,0.4607,20.7340
eur_usd,2011-06-02 18:00:00,1.4499,0.4319,-10.3455
eur_usd,2011-06-02 19:00:00,1.4484,0.4607,4.8329
eur_usd,2011-06-02 20:00:00,1.4491,0.4570,0.0000
eur_usd,2011-06-02 22:00:00,1.4491,0.4727,-5.5207
eur_usd,2011-06-02 23:00:00,1.4483,0.4940,2.7619
eur_usd,2011-06-03 00:00:00,1.4487,0.4855,5.5222
eur_usd,2011-06-03 01:00:00,1.4495,0.4831,-2.7596
eur_usd,2011-06-03 02:00:00,1.4491,0.4858,-3.4504
eur_usd,2011-06-03 03:00:00,1.4486,0.4908,0.0000
eur_usd,2011-06-03 04:00:00,1.4486,0.4942,0.0000
eur_usd,2011-06-03 05:00:00,1.4486,0.4927,-7.5935
eur_usd,2011-06-03 06:00:00,1.4475,0.5004,5.5268
eur_usd,2011-06-03 07:00:00,1.4483,0.4893,-1.3809
eur_usd,2011-06-03 08:00:00,1.4481,0.4873,5.5245
eur_usd,2011-06-03 09:00:00,1.4489,0.4790,2.0705
eur_usd,2011-06-03 10:00:00,1.4492,0.4794,-1.3801
eur_usd,2011-06-03 11:00:00,1.4490,0.4925,6.2112
eur_usd,2011-06-03 12:00:00,1.4499,0.4820,-20.0014
eur_usd,2011-06-03 13:00:00,1.4470,0.5143,53.2135
eur_usd,2011-06-03 14:00:00,1.4547,0.4423,13.7485
eur_usd,2011-06-03 15:00:00,1.4567,0.4290,24.7134
eur_usd,2011-06-03 16:00:00,1.4603,0.4302,18.4894
eur_usd,2011-06-03 17:00:00,1.4630,0.4098,1.3671
eur_usd,2011-06-03 18:00:00,1.4632,0.4541,-6.8343
eur_usd,2011-06-03 19:00:00,1.4622,0.4799,7.5229
eur_usd,2011-06-03 20:00:00,1.4633,0.4808,-2.7335
eur_usd,2011-06-05 22:00:00,1.4629,0.4983,17.7729
eur_usd,2011-06-05 23:00:00,1.4655,0.4650,-1.3647
eur_usd,2011-06-06 00:00:00,1.4653,0.4656,0.0000
eur_usd,2011-06-06 01:00:00,1.4653,0.4719,-13.6491
eur_usd,2011-06-06 02:00:00,1.4633,0.4845,4.7837
eur_usd,2011-06-06 03:00:00,1.4640,0.4831,-2.7322
eur_usd,2011-06-06 04:00:00,1.4636,0.4822,1.3665
eur_usd,2011-06-06 05:00:00,1.4638,0.4815,4.7821
eur_usd,2011-06-06 06:00:00,1.4645,0.4633,5.4626
eur_usd,2011-06-06 07:00:00,1.4653,0.4676,-22.5210
eur_usd,2011-06-06 08:00:00,1.4620,0.5038,10.9439
