pair,ttime,cp,upprob,pipgain
gbp_usd,2011-05-27 06:00:00,1.6430,0.5061,6.6951
gbp_usd,2011-05-27 07:00:00,1.6441,0.4971,-0.6082
gbp_usd,2011-05-27 08:00:00,1.6440,0.4894,-21.8978
gbp_usd,2011-05-27 09:00:00,1.6404,0.5498,15.2402
gbp_usd,2011-05-27 10:00:00,1.6429,0.5359,-11.5649
gbp_usd,2011-05-27 11:00:00,1.6410,0.5177,11.5783
gbp_usd,2011-05-27 12:00:00,1.6429,0.5329,0.6087
gbp_usd,2011-05-27 13:00:00,1.6430,0.5272,-5.4778
gbp_usd,2011-05-27 14:00:00,1.6421,0.5377,25.5770
gbp_usd,2011-05-27 15:00:00,1.6463,0.5039,16.4004
gbp_usd,2011-05-27 16:00:00,1.6490,0.4590,-1.2129
gbp_usd,2011-05-27 17:00:00,1.6488,0.4519,-13.9495
gbp_usd,2011-05-27 18:00:00,1.6465,0.5125,4.2514
gbp_usd,2011-05-27 19:00:00,1.6472,0.4781,4.2496
gbp_usd,2011-05-27 20:00:00,1.6479,0.4627,16.9913
gbp_usd,2011-05-29 23:00:00,1.6507,0.4327,-13.9335
gbp_usd,2011-05-30 00:00:00,1.6484,0.4659,-3.6399
gbp_usd,2011-05-30 01:00:00,1.6478,0.5348,1.8206
gbp_usd,2011-05-30 02:00:00,1.6481,0.5392,0.6068
gbp_usd,2011-05-30 03:00:00,1.6482,0.5404,-4.8538
gbp_usd,2011-05-30 05:00:00,1.6474,0.5223,0.0000
gbp_usd,2011-05-30 06:00:00,1.6474,0.5418,-2.4281
gbp_usd,2011-05-30 07:00:00,1.6470,0.5353,-4.2502
gbp_usd,2011-05-30 08:00:00,1.6463,0.5710,9.1113
gbp_usd,2011-05-30 09:00:00,1.6478,0.5334,-6.0687
gbp_usd,2011-05-30 10:00:00,1.6468,0.5150,1.8217
gbp_usd,2011-05-30 11:00:00,1.6471,0.5183,-1.8214
gbp_usd,2011-05-30 12:00:00,1.6468,0.5161,0.0000
gbp_usd,2011-05-30 13:00:00,1.6468,0.5166,-6.6796
gbp_usd,2011-05-30 14:00:00,1.6457,0.5246,0.0000
gbp_usd,2011-05-30 15:00:00,1.6457,0.5195,-3.6459
gbp_usd,2011-05-30 16:00:00,1.6451,0.4981,9.7259
gbp_usd,2011-05-30 17:00:00,1.6467,0.5086,1.8218
gbp_usd,2011-05-30 18:00:00,1.6470,0.4889,-0.6072
gbp_usd,2011-05-30 19:00:00,1.6469,0.5056,-1.2144
gbp_usd,2011-05-30 20:00:00,1.6467,0.5077,4.2509
gbp_usd,2011-05-30 22:00:00,1.6474,0.5000,6.0702
gbp_usd,2011-05-30 23:00:00,1.6484,0.4734,9.0997
gbp_usd,2011-05-31 00:00:00,1.6499,0.4645,18.1829
gbp_usd,2011-05-31 01:00:00,1.6529,0.4383,1.2100
gbp_usd,2011-05-31 02:00:00,1.6531,0.4463,7.8640
gbp_usd,2011-05-31 03:00:00,1.6544,0.4660,-1.8133
gbp_usd,2011-05-31 04:00:00,1.6541,0.4622,0.6046
gbp_usd,2011-05-31 05:00:00,1.6542,0.4696,-7.2543
gbp_usd,2011-05-31 06:00:00,1.6530,0.4829,7.8645
gbp_usd,2011-05-31 07:00:00,1.6543,0.4887,-18.1346
gbp_usd,2011-05-31 08:00:00,1.6513,0.5152,-6.6614
gbp_usd,2011-05-31 09:00:00,1.6502,0.5754,-4.8479
gbp_usd,2011-05-31 10:00:00,1.6494,0.5579,4.8502
gbp_usd,2011-05-31 11:00:00,1.6502,0.5482,1.2120
gbp_usd,2011-05-31 12:00:00,1.6504,0.5412,-22.4188
gbp_usd,2011-05-31 13:00:00,1.6467,0.5863,6.0728
gbp_usd,2011-05-31 14:00:00,1.6477,0.5820,-10.9243
gbp_usd,2011-05-31 15:00:00,1.6459,0.5639,-13.3665
gbp_usd,2011-05-31 16:00:00,1.6437,0.5696,-3.0419
gbp_usd,2011-05-31 17:00:00,1.6432,0.5544,7.9114
gbp_usd,2011-05-31 18:00:00,1.6445,0.5135,3.0404
gbp_usd,2011-05-31 19:00:00,1.6450,0.5075,0.0000
gbp_usd,2011-05-31 20:00:00,1.6450,0.5287,0.0000
gbp_usd,2011-05-31 22:00:00,1.6450,0.5039,7.9027
gbp_usd,2011-05-31 23:00:00,1.6463,0.4997,1.8223
gbp_usd,2011-06-01 00:00:00,1.6466,0.4695,-4.8585
gbp_usd,2011-06-01 01:00:00,1.6458,0.4798,3.6456
gbp_usd,2011-06-01 02:00:00,1.6464,0.4805,0.6074
gbp_usd,2011-06-01 03:00:00,1.6465,0.4785,2.4294
gbp_usd,2011-06-01 04:00:00,1.6469,0.4824,4.2504
gbp_usd,2011-06-01 05:00:00,1.6476,0.4798,-7.2833
gbp_usd,2011-06-01 06:00:00,1.6464,0.4978,4.8591
gbp_usd,2011-06-01 07:00:00,1.6472,0.5133,7.2851
gbp_usd,2011-06-01 08:00:00,1.6484,0.4929,-52.1718
gbp_usd,2011-06-01 09:00:00,1.6398,0.5695,21.3441
gbp_usd,2011-06-01 10:00:00,1.6433,0.5917,-10.3450
gbp_usd,2011-06-01 11:00:00,1.6416,0.5031,3.0458
gbp_usd,2011-06-01 12:00:00,1.6421,0.5351,-19.4872
gbp_usd,2011-06-01 13:00:00,1.6389,0.5775,1.2203
gbp_usd,2011-06-01 14:00:00,1.6391,0.5624,6.7110
gbp_usd,2011-06-01 15:00:00,1.6402,0.5332,-8.5355
gbp_usd,2011-06-01 16:00:00,1.6388,0.5577,-10.3734
gbp_usd,2011-06-01 17:00:00,1.6371,0.5337,-0.6108
gbp_usd,2011-06-01 18:00:00,1.6370,0.5439,-6.1087
gbp_usd,2011-06-01 19:00:00,1.6360,0.5228,-13.4474
gbp_usd,2011-06-01 20:00:00,1.6338,0.5507,-9.1811
gbp_usd,2011-06-01 22:00:00,1.6323,0.5369,7.9642
gbp_usd,2011-06-01 23:00:00,1.6336,0.5060,0.6121
gbp_usd,2011-06-02 00:00:00,1.6337,0.4974,3.6726
gbp_usd,2011-06-02 01:00:00,1.6343,0.5001,0.6119
gbp_usd,2011-06-02 02:00:00,1.6344,0.5135,-10.4014
gbp_usd,2011-06-02 04:00:00,1.6327,0.5273,6.7373
gbp_usd,2011-06-02 05:00:00,1.6338,0.5156,2.4483
gbp_usd,2011-06-02 06:00:00,1.6342,0.4785,-7.3430
gbp_usd,2011-06-02 07:00:00,1.6330,0.4978,-7.3484
gbp_usd,2011-06-02 08:00:00,1.6318,0.5284,31.2538
gbp_usd,2011-06-02 09:00:00,1.6369,0.4572,15.2728
gbp_usd,2011-06-02 10:00:00,1.6394,0.4205,-7.9297
gbp_usd,2011-06-02 11:00:00,1.6381,0.4960,-4.2732
gbp_usd,2011-06-02 12:00:00,1.6374,0.5260,-6.7180
gbp_usd,2011-06-02 13:00:00,1.6363,0.5085,-9.7782
gbp_usd,2011-06-02 14:00:00,1.6347,0.5129,-7.9525
gbp_usd,2011-06-02 15:00:00,1.6334,0.5179,-6.7344
gbp_usd,2011-06-02 16:00:00,1.6323,0.5070,22.0548
gbp_usd,2011-06-02 17:00:00,1.6359,0.4947,1.8339
gbp_usd,2011-06-02 18:00:00,1.6362,0.4957,-0.6112
gbp_usd,2011-06-02 19:00:00,1.6361,0.5285,3.6673
gbp_usd,2011-06-02 20:00:00,1.6367,0.5278,0.0000
gbp_usd,2011-06-02 22:00:00,1.6367,0.5026,-3.0549
gbp_usd,2011-06-02 23:00:00,1.6362,0.5019,6.1117
gbp_usd,2011-06-03 00:00:00,1.6372,0.4863,-3.0540
gbp_usd,2011-06-03 01:00:00,1.6367,0.4756,-9.7758
gbp_usd,2011-06-03 02:00:00,1.6351,0.5190,-4.8927
gbp_usd,2011-06-03 03:00:00,1.6343,0.5255,-1.8356
gbp_usd,2011-06-03 04:00:00,1.6340,0.5100,2.4480
gbp_usd,2011-06-03 05:00:00,1.6344,0.5037,-2.4474
gbp_usd,2011-06-03 06:00:00,1.6340,0.5108,9.7919
gbp_usd,2011-06-03 07:00:00,1.6356,0.5035,-8.5596
gbp_usd,2011-06-03 08:00:00,1.6342,0.5187,-9.1788
gbp_usd,2011-06-03 09:00:00,1.6327,0.5515,-15.3121
gbp_usd,2011-06-03 10:00:00,1.6302,0.5517,3.0671
gbp_usd,2011-06-03 11:00:00,1.6307,0.5209,15.3308
gbp_usd,2011-06-03 12:00:00,1.6332,0.4730,-19.5934
gbp_usd,2011-06-03 13:00:00,1.6300,0.5070,24.5399
gbp_usd,2011-06-03 14:00:00,1.6340,0.5201,14.6879
gbp_usd,2011-06-03 15:00:00,1.6364,0.4440,19.5551
gbp_usd,2011-06-03 16:00:00,1.6396,0.4401,16.4674
