pair,ttime,cp,upprob,pipgain
nzd_usd,2011-04-14 05:00:00,0.7921,0.4501,30.2992
nzd_usd,2011-04-14 06:00:00,0.7945,0.4383,-25.1731
nzd_usd,2011-04-14 09:00:00,0.7925,0.4712,-37.8549
nzd_usd,2011-04-14 10:00:00,0.7895,0.5332,-13.9329
nzd_usd,2011-04-14 11:00:00,0.7884,0.5377,15.2207
nzd_usd,2011-04-14 12:00:00,0.7896,0.5172,2.5329
nzd_usd,2011-04-14 13:00:00,0.7898,0.4999,10.1291
nzd_usd,2011-04-14 14:00:00,0.7906,0.4783,15.1783
nzd_usd,2011-04-14 15:00:00,0.7918,0.4591,-1.2629
nzd_usd,2011-04-14 16:00:00,0.7917,0.4698,23.9990
nzd_usd,2011-04-14 17:00:00,0.7936,0.4579,-12.6008
nzd_usd,2011-04-14 18:00:00,0.7926,0.4781,3.7850
nzd_usd,2011-04-14 19:00:00,0.7929,0.4921,6.3060
nzd_usd,2011-04-14 22:00:00,0.7934,0.4790,-3.7812
nzd_usd,2011-04-14 23:00:00,0.7931,0.4943,16.3914
nzd_usd,2011-04-15 00:00:00,0.7944,0.4780,-3.7764
nzd_usd,2011-04-15 02:00:00,0.7941,0.4829,-10.0743
nzd_usd,2011-04-15 03:00:00,0.7933,0.5027,18.9084
nzd_usd,2011-04-15 04:00:00,0.7948,0.4774,-5.0327
nzd_usd,2011-04-15 05:00:00,0.7944,0.4861,8.8117
nzd_usd,2011-04-15 06:00:00,0.7951,0.4825,-3.7731
nzd_usd,2011-04-15 07:00:00,0.7948,0.4807,-1.2582
nzd_usd,2011-04-15 08:00:00,0.7947,0.4935,11.3250
nzd_usd,2011-04-15 09:00:00,0.7956,0.4785,-7.5415
nzd_usd,2011-04-15 11:00:00,0.7950,0.4910,22.6415
nzd_usd,2011-04-15 12:00:00,0.7968,0.4734,-27.6104
nzd_usd,2011-04-15 13:00:00,0.7946,0.4971,16.3604
nzd_usd,2011-04-15 14:00:00,0.7959,0.4925,13.8208
nzd_usd,2011-04-15 15:00:00,0.7970,0.4667,-1.2547
nzd_usd,2011-04-15 16:00:00,0.7969,0.4868,16.3132
nzd_usd,2011-04-15 18:00:00,0.7982,0.4649,8.7697
nzd_usd,2011-04-15 19:00:00,0.7989,0.4654,3.7552
nzd_usd,2011-04-15 20:00:00,0.7992,0.4763,-1.2513
nzd_usd,2011-04-17 22:00:00,0.7991,0.4780,-28.7824
nzd_usd,2011-04-17 23:00:00,0.7968,0.5166,-33.8855
nzd_usd,2011-04-18 00:00:00,0.7941,0.5457,-10.0743
nzd_usd,2011-04-18 01:00:00,0.7933,0.5406,10.0845
nzd_usd,2011-04-18 02:00:00,0.7941,0.5163,13.8522
nzd_usd,2011-04-18 04:00:00,0.7952,0.4866,-18.8632
nzd_usd,2011-04-18 05:00:00,0.7937,0.4935,-1.2599
nzd_usd,2011-04-18 06:00:00,0.7936,0.4932,-7.5605
nzd_usd,2011-04-18 07:00:00,0.7930,0.4977,-11.3493
nzd_usd,2011-04-18 08:00:00,0.7921,0.5144,-10.0997
nzd_usd,2011-04-18 09:00:00,0.7913,0.5151,2.5275
nzd_usd,2011-04-18 10:00:00,0.7915,0.5083,-16.4245
nzd_usd,2011-04-18 11:00:00,0.7902,0.5148,-34.1686
nzd_usd,2011-04-18 12:00:00,0.7875,0.5398,-6.3492
nzd_usd,2011-04-18 13:00:00,0.7870,0.5333,-12.7065
nzd_usd,2011-04-18 14:00:00,0.7860,0.5318,-1.2723
nzd_usd,2011-04-18 15:00:00,0.7859,0.5224,10.1794
nzd_usd,2011-04-18 16:00:00,0.7867,0.4909,15.2536
nzd_usd,2011-04-18 17:00:00,0.7879,0.4734,12.6920
nzd_usd,2011-04-18 18:00:00,0.7889,0.4612,8.8731
nzd_usd,2011-04-18 19:00:00,0.7896,0.4625,17.7305
nzd_usd,2011-04-18 20:00:00,0.7910,0.4620,-27.8129
nzd_usd,2011-04-18 22:00:00,0.7888,0.5005,-38.0325
nzd_usd,2011-04-18 23:00:00,0.7858,0.5466,13.9985
nzd_usd,2011-04-19 00:00:00,0.7869,0.5221,11.4373
nzd_usd,2011-04-19 01:00:00,0.7878,0.5045,-40.6194
nzd_usd,2011-04-19 02:00:00,0.7846,0.5336,20.3926
nzd_usd,2011-04-19 03:00:00,0.7862,0.4947,-17.8072
nzd_usd,2011-04-19 04:00:00,0.7848,0.5026,-8.9195
nzd_usd,2011-04-19 06:00:00,0.7841,0.5181,-3.8260
nzd_usd,2011-04-19 07:00:00,0.7838,0.4971,31.8959
nzd_usd,2011-04-19 08:00:00,0.7863,0.4768,-3.8153
nzd_usd,2011-04-19 09:00:00,0.7860,0.4729,30.5344
nzd_usd,2011-04-19 10:00:00,0.7884,0.4520,-10.1471
nzd_usd,2011-04-19 11:00:00,0.7876,0.4673,11.4271
nzd_usd,2011-04-19 12:00:00,0.7885,0.4809,-8.8776
nzd_usd,2011-04-19 13:00:00,0.7878,0.4874,8.8855
nzd_usd,2011-04-19 14:00:00,0.7885,0.4996,-8.8776
nzd_usd,2011-04-19 15:00:00,0.7878,0.4995,-7.6161
nzd_usd,2011-04-19 16:00:00,0.7872,0.5080,10.1626
nzd_usd,2011-04-19 17:00:00,0.7880,0.4912,0.0000
nzd_usd,2011-04-19 18:00:00,0.7880,0.4904,-11.4213
nzd_usd,2011-04-19 19:00:00,0.7871,0.5000,7.6229
nzd_usd,2011-04-19 20:00:00,0.7877,0.4874,17.7733
nzd_usd,2011-04-19 23:00:00,0.7891,0.4721,13.9399
nzd_usd,2011-04-20 00:00:00,0.7902,0.4627,20.2480
nzd_usd,2011-04-20 01:00:00,0.7918,0.4478,21.4701
nzd_usd,2011-04-20 02:00:00,0.7935,0.4422,8.8217
nzd_usd,2011-04-20 03:00:00,0.7942,0.4518,-7.5548
nzd_usd,2011-04-20 04:00:00,0.7936,0.4770,-8.8206
nzd_usd,2011-04-20 05:00:00,0.7929,0.4985,1.2612
nzd_usd,2011-04-20 06:00:00,0.7930,0.5034,11.3493
nzd_usd,2011-04-20 07:00:00,0.7939,0.4912,17.6345
nzd_usd,2011-04-20 08:00:00,0.7953,0.4721,46.5233
nzd_usd,2011-04-20 09:00:00,0.7990,0.4280,-10.0125
nzd_usd,2011-04-20 10:00:00,0.7982,0.4478,17.5395
nzd_usd,2011-04-20 11:00:00,0.7996,0.4535,-33.7669
nzd_usd,2011-04-20 12:00:00,0.7969,0.4932,8.7840
nzd_usd,2011-04-20 13:00:00,0.7976,0.5097,-17.5527
nzd_usd,2011-04-20 14:00:00,0.7962,0.5091,10.0477
nzd_usd,2011-04-20 15:00:00,0.7970,0.5088,2.5094
nzd_usd,2011-04-20 16:00:00,0.7972,0.4834,-31.3598
nzd_usd,2011-04-20 17:00:00,0.7947,0.5169,6.2917
nzd_usd,2011-04-20 18:00:00,0.7952,0.5018,-11.3179
nzd_usd,2011-04-20 19:00:00,0.7943,0.5042,10.0718
nzd_usd,2011-04-20 20:00:00,0.7951,0.5007,22.6387
nzd_usd,2011-04-20 22:00:00,0.7969,0.4594,-11.2938
nzd_usd,2011-04-20 23:00:00,0.7960,0.4832,10.0503
nzd_usd,2011-04-21 00:00:00,0.7968,0.4746,25.1004
nzd_usd,2011-04-21 01:00:00,0.7988,0.4527,11.2669
nzd_usd,2011-04-21 02:00:00,0.7997,0.4675,10.0038
nzd_usd,2011-04-21 03:00:00,0.8005,0.4629,-17.4891
nzd_usd,2011-04-21 04:00:00,0.7991,0.4937,10.0113
nzd_usd,2011-04-21 05:00:00,0.7999,0.4940,45.0056
nzd_usd,2011-04-21 06:00:00,0.8035,0.4478,-21.1574
nzd_usd,2011-04-21 07:00:00,0.8018,0.4858,-4.9888
nzd_usd,2011-04-21 08:00:00,0.8014,0.4962,-8.7347
nzd_usd,2011-04-21 09:00:00,0.8007,0.4965,6.2445
nzd_usd,2011-04-21 10:00:00,0.8012,0.5050,6.2406
nzd_usd,2011-04-21 11:00:00,0.8017,0.4851,1.2473
nzd_usd,2011-04-21 12:00:00,0.8018,0.4870,-2.4944
nzd_usd,2011-04-21 13:00:00,0.8016,0.4874,-21.2076
nzd_usd,2011-04-21 14:00:00,0.7999,0.5068,5.0006
nzd_usd,2011-04-21 15:00:00,0.8003,0.5022,18.7430
nzd_usd,2011-04-21 16:00:00,0.8018,0.4779,1.2472
nzd_usd,2011-04-21 17:00:00,0.8019,0.4833,1.2470
nzd_usd,2011-04-21 18:00:00,0.8020,0.4795,0.0000
nzd_usd,2011-04-21 19:00:00,0.8020,0.4824,-8.7282
nzd_usd,2011-04-21 20:00:00,0.8013,0.4996,-6.2399
nzd_usd,2011-04-21 22:00:00,0.8008,0.5056,4.9950
nzd_usd,2011-04-21 23:00:00,0.8012,0.5020,6.2406
nzd_usd,2011-04-22 00:00:00,0.8017,0.4924,12.4735
nzd_usd,2011-04-22 01:00:00,0.8027,0.4761,-13.7037
nzd_usd,2011-04-22 02:00:00,0.8016,0.4908,-11.2275
nzd_usd,2011-04-22 03:00:00,0.8007,0.5071,6.2445
nzd_usd,2011-04-22 04:00:00,0.8012,0.4970,2.4963
nzd_usd,2011-04-22 05:00:00,0.8014,0.4982,8.7347
nzd_usd,2011-04-22 06:00:00,0.8021,0.4866,-17.4542
nzd_usd,2011-04-22 08:00:00,0.8007,0.4989,3.7467
nzd_usd,2011-04-22 09:00:00,0.8010,0.4985,2.4969
nzd_usd,2011-04-22 10:00:00,0.8012,0.4897,1.2481
nzd_usd,2011-04-22 11:00:00,0.8013,0.4967,-4.9919
nzd_usd,2011-04-22 13:00:00,0.8009,0.4959,11.2374
nzd_usd,2011-04-22 14:00:00,0.8018,0.4854,-9.9776
nzd_usd,2011-04-22 15:00:00,0.8010,0.4954,0.0000
nzd_usd,2011-04-22 16:00:00,0.8010,0.4977,6.2422
nzd_usd,2011-04-22 19:00:00,0.8015,0.4873,12.4766
nzd_usd,2011-04-24 22:00:00,0.8025,0.4812,-2.4922
nzd_usd,2011-04-24 23:00:00,0.8023,0.4837,12.4642
nzd_usd,2011-04-25 00:00:00,0.8033,0.4756,-33.6114
nzd_usd,2011-04-25 02:00:00,0.8006,0.5128,-6.2453
nzd_usd,2011-04-25 03:00:00,0.8001,0.5242,1.2498
nzd_usd,2011-04-25 04:00:00,0.8002,0.5076,2.4994
nzd_usd,2011-04-25 05:00:00,0.8004,0.5089,9.9950
nzd_usd,2011-04-25 06:00:00,0.8012,0.4820,-8.7369
nzd_usd,2011-04-25 07:00:00,0.8005,0.4887,4.9969
nzd_usd,2011-04-25 08:00:00,0.8009,0.4881,13.7345
nzd_usd,2011-04-25 09:00:00,0.8020,0.4710,0.0000
nzd_usd,2011-04-25 10:00:00,0.8020,0.4841,7.4813
nzd_usd,2011-04-25 11:00:00,0.8026,0.4798,-4.9838
nzd_usd,2011-04-25 12:00:00,0.8022,0.4875,-14.9589
nzd_usd,2011-04-25 13:00:00,0.8010,0.5116,-12.4844
nzd_usd,2011-04-25 14:00:00,0.8000,0.5187,-15.0000
nzd_usd,2011-04-25 15:00:00,0.7988,0.5306,7.5113
nzd_usd,2011-04-25 16:00:00,0.7994,0.5121,-1.2509
nzd_usd,2011-04-25 17:00:00,0.7993,0.4992,1.2511
nzd_usd,2011-04-25 18:00:00,0.7994,0.4935,6.2547
nzd_usd,2011-04-25 19:00:00,0.7999,0.4783,1.2502
