pair,ttime,cp,upprob,pipgain
usd_cad,2011-03-25 15:00:00,0.9754,0.4692,22.5548
usd_cad,2011-03-25 16:00:00,0.9776,0.4446,50.1227
usd_cad,2011-03-25 17:00:00,0.9825,0.4114,-14.2494
usd_cad,2011-03-25 18:00:00,0.9811,0.4782,1.0193
usd_cad,2011-03-25 19:00:00,0.9812,0.4661,7.1341
usd_cad,2011-03-25 20:00:00,0.9819,0.4633,-2.0369
usd_cad,2011-03-27 22:00:00,0.9817,0.4852,-4.0746
usd_cad,2011-03-27 23:00:00,0.9813,0.4858,3.0572
usd_cad,2011-03-28 00:00:00,0.9816,0.4782,-2.0375
usd_cad,2011-03-28 01:00:00,0.9814,0.4823,-1.0190
usd_cad,2011-03-28 02:00:00,0.9813,0.4752,-6.1143
usd_cad,2011-03-28 03:00:00,0.9807,0.4827,0.0000
usd_cad,2011-03-28 04:00:00,0.9807,0.4771,6.1181
usd_cad,2011-03-28 06:00:00,0.9813,0.4677,-2.0381
usd_cad,2011-03-28 07:00:00,0.9811,0.4754,-5.0963
usd_cad,2011-03-28 08:00:00,0.9806,0.4794,-8.1583
usd_cad,2011-03-28 09:00:00,0.9798,0.4831,2.0412
usd_cad,2011-03-28 10:00:00,0.9800,0.4718,-14.2857
usd_cad,2011-03-28 11:00:00,0.9786,0.4856,-5.1093
usd_cad,2011-03-28 12:00:00,0.9781,0.4778,-10.2239
usd_cad,2011-03-28 13:00:00,0.9771,0.4812,-21.4922
usd_cad,2011-03-28 14:00:00,0.9750,0.4944,0.0000
usd_cad,2011-03-28 15:00:00,0.9750,0.4687,6.1538
usd_cad,2011-03-28 16:00:00,0.9756,0.4604,11.2751
usd_cad,2011-03-28 17:00:00,0.9767,0.4520,1.0239
usd_cad,2011-03-28 18:00:00,0.9768,0.4579,-9.2138
usd_cad,2011-03-28 19:00:00,0.9759,0.4711,6.1482
usd_cad,2011-03-28 20:00:00,0.9765,0.4570,17.4091
usd_cad,2011-03-28 22:00:00,0.9782,0.4468,0.0000
usd_cad,2011-03-28 23:00:00,0.9782,0.4667,-2.0446
usd_cad,2011-03-29 00:00:00,0.9780,0.4676,-4.0900
usd_cad,2011-03-29 01:00:00,0.9776,0.4712,-3.0687
usd_cad,2011-03-29 02:00:00,0.9773,0.4742,1.0232
usd_cad,2011-03-29 03:00:00,0.9774,0.4695,-9.2081
usd_cad,2011-03-29 04:00:00,0.9765,0.4825,-2.0481
usd_cad,2011-03-29 05:00:00,0.9763,0.4742,-10.2428
usd_cad,2011-03-29 06:00:00,0.9753,0.4822,-6.1520
usd_cad,2011-03-29 07:00:00,0.9747,0.4804,3.0779
