pair,ttime,cp,upprob,pipgain
usd_jpy,2011-06-07 02:00:00,80.1835,0.4927,1.1848
usd_jpy,2011-06-07 03:00:00,80.1930,0.4946,0.4863
usd_jpy,2011-06-07 04:00:00,80.1969,0.4932,15.3248
usd_jpy,2011-06-07 05:00:00,80.3198,0.4666,-2.2410
usd_jpy,2011-06-07 06:00:00,80.3018,0.4873,-5.2303
usd_jpy,2011-06-07 07:00:00,80.2598,0.5057,-2.2303
usd_jpy,2011-06-07 08:00:00,80.2419,0.5033,-7.1534
usd_jpy,2011-06-07 09:00:00,80.1845,0.5185,3.6042
usd_jpy,2011-06-07 10:00:00,80.2134,0.5020,0.3241
usd_jpy,2011-06-07 11:00:00,80.2160,0.4976,0.1496
usd_jpy,2011-06-07 12:00:00,80.2172,0.4966,-2.9295
usd_jpy,2011-06-07 13:00:00,80.1937,0.5002,-2.4191
usd_jpy,2011-06-07 14:00:00,80.1743,0.5038,8.4566
usd_jpy,2011-06-07 15:00:00,80.2421,0.4838,-3.9755
usd_jpy,2011-06-07 16:00:00,80.2102,0.4980,-8.1162
usd_jpy,2011-06-07 17:00:00,80.1451,0.5178,-0.4492
usd_jpy,2011-06-07 18:00:00,80.1415,0.5068,-3.9555
usd_jpy,2011-06-07 19:00:00,80.1098,0.5136,-13.6063
usd_jpy,2011-06-07 20:00:00,80.0008,0.5358,14.1749
usd_jpy,2011-06-07 22:00:00,80.1142,0.4922,9.0621
usd_jpy,2011-06-07 23:00:00,80.1868,0.4786,-0.8106
usd_jpy,2011-06-08 00:00:00,80.1803,0.4932,-3.3175
usd_jpy,2011-06-08 01:00:00,80.1537,0.4986,-31.4521
usd_jpy,2011-06-08 02:00:00,79.9016,0.5645,2.9286
usd_jpy,2011-06-08 03:00:00,79.9250,0.5322,3.0028
usd_jpy,2011-06-08 04:00:00,79.9490,0.5109,11.9951
usd_jpy,2011-06-08 05:00:00,80.0449,0.4907,0.5372
usd_jpy,2011-06-08 06:00:00,80.0492,0.4871,-12.0426
